"Fartøy","Name","From","To","Length","Type","GrossTonnage","IMO"
"SEA CARGO EXPRESS","Sea Cargo Express","Aberdeen","Håvik","117.38","34","6693","9358060"
"SKANDI MAROY","Skandi Maroy","North sea","North sea","82.2","51","3588","9625023"
"EIDSVAAG MARIN","Eidsvaag Marin","Bergen","Flekkefjord","58.6","31","1122","9133525"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"SIEM SYMPHONY","Siem Symphony","Offshoreinst North Sea","Offshoreinst North Sea","89.2","51","4768","9690066"
"NORTH PURPOSE","North Purpose","Offshoreinst North Sea","North sea","86.8","51","3639","9439462"
"COMABAR","Comabar","Haugesund","Ågotnes","63.02","21","1211","8411231"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"BIOSTAR","Biostar","Ukjent havn i ukjent land","Ukjent havn i ukjent land","69.6","22","1461","9226176"
"RESCUE SJOMANN","Rescue Sjomann","Ukjent havn i ukjent land","Ukjent havn i ukjent land","14","0","1","0"
"CRISTINA MASAVEU","Cristina Masaveu","Brevik","Ølen","134.2","21","8291","9443762"
"VIKING QUEEN","Viking Queen","Offshoreinst North Sea","Offshoreinst North Sea","92.2","51","6111","9372901"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"RITA","Rita","Rotterdam","Husøy - Karmøy","132.6","22","6701","9318931"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"NYSTEIN","Nystein","Husøy - Karmøy","Fiska","82.38","22","1864","9137284"
"CYPRUS CEMENT","Cyprus Cement","Etne","Slite","97","22","4069","9037173"
"CEMSTAR","Cemstar","Brevik","Bøneset - Karmøy","113.7","21","4082","7527849"
"STRILMØY","Strilmøy","North sea","North sea","85.65","51","3331","9328546"
"SKANDI NOVA","Skandi Nova","North sea","North sea","82.8","51","3788","9625009"
"NS ORLA","Ns Orla","Offshoreinst North Sea","Offshoreinst North Sea","97","51","5165","9657648"
"TRANSFIGHTER","Transfighter","Esbjerg","Skogn","178.6","34","20851","9216626"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"ISLAND CHALLENGER","Island Challenger","North sea","North sea","93","51","4382","9371696"
"SC ASTREA","Sc Astrea","Immingham","Husøy - Karmøy","129.1","34","9528","8917895"
"SEAQUEEN","Seaqueen","Ukjent havn i ukjent land","Ukjent havn i ukjent land","249.87","11","62796","9288863"
"REM ARCTIC","Rem Arctic","North sea","North sea","87.22","51","4609","9731250"
"SKANDI KVITSØY","Skandi Kvitsøy","North sea","North sea","87.9","51","3958","9613824"
"STRIL LUNA","Stril Luna","Kristiansund","North sea","92.8","51","4829","9666546"
